"points" "price" "province"
"24314" "2" 12 "Washington"
"18076" "1" 25 "Oregon"
"80586" "1" 42 "California"
"39970" "1" 23 "California"
"6270" "2" 100 "California"
"82437" "1" 12 "Oregon"
"80878" "1" 32 "Washington"
"34364" "1" 15 "Washington"
"46525" "0" 16 "California"
"95972" "2" 32 "Washington"
"39893" "1" 40 "California"
"98998" "2" 58 "California"
"134516" "0" 30 "New York"
"73107" "2" 14 "California"
"11652" "1" 50 "Oregon"
"105933" "0" 19 "California"
"18349" "1" 22 "California"
"137090" "0" 38 "California"
"32614" "1" 22 "California"
"119323" "1" 25 "Washington"
"63211" "0" 20 "California"
"120308" "2" 35 "Washington"
"123342" "2" 30 "California"
